LeftHand,RightHand,Support,Confidence,Lift
"('Class / 1',)","('housing / 760.4-880.2', 'food / 160.0-220.0')",0.02108433734939759,0.1381578947368421,3.440131578947368
"('Class / 1',)","('housing / 880.2-1000.0', 'food / 160.0-220.0')",0.01706827309236948,0.1118421052631579,3.1827067669172933
"('Class / 1',)","('transportation / 110.0-140.0', 'food / 160.0-220.0')",0.02108433734939759,0.1381578947368421,3.0578947368421048
"('Class / 1',)","('transportation / 170.0-200.0', 'food / 160.0-220.0')",0.015060240963855422,0.09868421052631578,3.5103383458646613
"('Class / 1',)","('food / 160.0-220.0', 'university / 450.05-500.0')",0.01606425702811245,0.10526315789473682,3.1770334928229658
"('Class / 1',)","('food / 220.0-280.0', 'housing / 880.2-1000.0')",0.014056224899598393,0.09210526315789473,3.1633393829401086
"('Class / 1',)","('food / 99.7-160.0', 'housing / 760.4-880.2')",0.025100401606425703,0.1644736842105263,3.090863952333664
"('Class / 1',)","('food / 99.7-160.0', 'housing / 880.2-1000.0')",0.018072289156626505,0.11842105263157894,3.931578947368421
"('Class / 1',)","('food / 99.7-160.0', 'transportation / 140.0-170.0')",0.02610441767068273,0.17105263157894735,3.7036613272311207
"('Class / 1',)","('food / 99.7-160.0', 'transportation / 170.0-200.0')",0.02208835341365462,0.14473684210526316,3.067189249720045
"('Class / 1',)","('housing / 760.4-880.2', 'transportation / 140.0-170.0')",0.024096385542168676,0.15789473684210525,3.931578947368421
"('Class / 1',)","('housing / 760.4-880.2', 'transportation / 170.0-200.0')",0.023092369477911646,0.15131578947368418,3.5048959608323123
"('Class / 1',)","('housing / 880.2-1000.0', 'transportation / 170.0-200.0')",0.020080321285140562,0.13157894736842105,3.6403508771929824
"('Class / 1',)","('university / 400.1-450.05', 'housing / 880.2-1000.0')",0.014056224899598393,0.09210526315789473,3.52834008097166
"('Class / 1',)","('housing / 880.2-1000.0', 'university / 450.05-500.0')",0.01706827309236948,0.1118421052631579,3.094298245614035
"('Class / 1',)","('income / 558.065-947.0', 'transportation / 170.0-200.0')",0.013052208835341365,0.08552631578947367,4.48337950138504
"('Class / 2',)","('transportation / 49.85-80.0', 'food / 160.0-220.0')",0.03112449799196787,0.155,4.540588235294117
"('Class / 2',)","('transportation / 80.0-110.0', 'food / 160.0-220.0')",0.03112449799196787,0.155,3.4306666666666668
"('Class / 2',)","('food / 220.0-280.0', 'transportation / 49.85-80.0')",0.02610441767068273,0.13,3.158048780487805
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0')",0.04718875502008032,0.235,4.98
"('Class / 2',)","('transportation / 80.0-110.0', 'food / 99.7-160.0')",0.023092369477911646,0.11499999999999999,3.9496551724137925
"('Class / 2',)","('transportation / 49.85-80.0', 'health / 101.2-150.4')",0.03714859437751004,0.185,3.020655737704918
"('Class / 2',)","('transportation / 49.85-80.0', 'health / 150.4-199.6')",0.0321285140562249,0.15999999999999998,3.006792452830188
"('Class / 2',)","('health / 51.754-101.2', 'transportation / 49.85-80.0')",0.014056224899598393,0.06999999999999999,3.32
"('Class / 2',)","('transportation / 80.0-110.0', 'health / 51.754-101.2')",0.012048192771084338,0.060000000000000005,3.1452631578947368
"('Class / 2',)","('transportation / 49.85-80.0', 'housing / 640.6-760.4')",0.02710843373493976,0.135,3.538421052631579
"('Class / 2',)","('transportation / 80.0-110.0', 'housing / 640.6-760.4')",0.02610441767068273,0.13,3.0111627906976746
"('Class / 2',)","('housing / 760.4-880.2', 'transportation / 49.85-80.0')",0.03313253012048193,0.165,3.9128571428571433
"('Class / 2',)","('housing / 880.2-1000.0', 'transportation / 49.85-80.0')",0.02610441767068273,0.13,3.082857142857143
"('Class / 2',)","('income / 1334.0-1721.0', 'transportation / 49.85-80.0')",0.035140562248995984,0.175,3.057894736842105
"('Class / 2',)","('transportation / 49.85-80.0', 'non-essential / 231.355-361.0')",0.010040160642570281,0.05,3.3200000000000003
"('Class / 2',)","('transportation / 49.85-80.0', 'non-essential / 490.0-619.0')",0.04618473895582329,0.22999999999999998,3.0543999999999993
"('Class / 2',)","('transportation / 49.85-80.0', 'university / 350.15-400.1')",0.02710843373493976,0.135,3.3615000000000004
"('Class / 2',)","('university / 400.1-450.05', 'transportation / 49.85-80.0')",0.02710843373493976,0.135,3.2795121951219515
"('Class / 2',)","('transportation / 49.85-80.0', 'university / 450.05-500.0')",0.02208835341365462,0.11,3.0433333333333334
"('Class / 3',)","('housing / 400.401-520.8', 'food / 160.0-220.0')",0.02108433734939759,0.13043478260869562,4.1907433380084145
"('Class / 3',)","('housing / 520.8-640.6', 'food / 160.0-220.0')",0.01706827309236948,0.10559006211180123,3.2864906832298137
"('Class / 3',)","('transportation / 140.0-170.0', 'food / 160.0-220.0')",0.015060240963855422,0.09316770186335403,3.199828657100021
"('Class / 3',)","('food / 99.7-160.0', 'health / 248.8-298.0')",0.013052208835341365,0.08074534161490682,4.0211180124223596
"('Class / 3',)","('food / 99.7-160.0', 'housing / 400.401-520.8')",0.03413654618473896,0.21118012422360247,5.007985803016859
"('Class / 3',)","('food / 99.7-160.0', 'housing / 520.8-640.6')",0.01706827309236948,0.10559006211180123,3.392506511721098
"('Class / 3',)","('food / 99.7-160.0', 'transportation / 170.0-200.0')",0.025100401606425703,0.15527950310559005,3.290603938152504
"('Class / 3',)","('housing / 400.401-520.8', 'health / 248.8-298.0')",0.01104417670682731,0.06832298136645962,3.402484472049689
"('Class / 3',)","('transportation / 140.0-170.0', 'health / 248.8-298.0')",0.014056224899598393,0.08695652173913043,3.6086956521739126
"('Class / 3',)","('housing / 400.401-520.8', 'transportation / 140.0-170.0')",0.03112449799196787,0.19254658385093165,3.5514147688060724
"('Class / 3',)","('housing / 400.401-520.8', 'transportation / 170.0-200.0')",0.029116465863453816,0.18012422360248448,4.271517302573204
"('Class / 3',)","('housing / 400.401-520.8', 'university / 350.15-400.1')",0.024096385542168676,0.14906832298136646,3.093167701863354
"('Class / 3',)","('housing / 400.401-520.8', 'university / 400.1-450.05')",0.023092369477911646,0.14285714285714285,3.1619047619047618
"('Class / 4',)","('food / 220.0-280.0', 'university / 250.0-300.2')",0.015060240963855422,0.11363636363636363,3.7727272727272725
"('Class / 4',)","('housing / 400.401-520.8', 'food / 280.0-340.0')",0.024096385542168676,0.18181818181818182,3.9367588932806328
"('Class / 4',)","('transportation / 49.85-80.0', 'food / 280.0-340.0')",0.018072289156626505,0.13636363636363635,3.086776859504132
"('Class / 4',)","('food / 280.0-340.0', 'university / 250.0-300.2')",0.020080321285140562,0.1515151515151515,3.509513742071881
"('Class / 4',)","('university / 300.2-350.15', 'food / 280.0-340.0')",0.01606425702811245,0.12121212121212119,3.0181818181818176
"('Class / 4',)","('housing / 400.401-520.8', 'food / 340.0-400.0')",0.03815261044176707,0.2878787878787879,4.778787878787879
"('Class / 4',)","('food / 340.0-400.0', 'university / 250.0-300.2')",0.019076305220883535,0.14393939393939395,3.050290135396519
"('Class / 4',)","('food / 340.0-400.0', 'university / 300.2-350.15')",0.02208835341365462,0.16666666666666666,3.7727272727272725
"('Class / 4',)","('housing / 400.401-520.8', 'health / 150.4-199.6')",0.023092369477911646,0.17424242424242423,3.044657097288676
"('Class / 4',)","('health / 199.6-248.8', 'university / 250.0-300.2')",0.019076305220883535,0.14393939393939395,3.050290135396519
"('Class / 4',)","('housing / 400.401-520.8', 'income / 2108.0-2495.0')",0.010040160642570281,0.07575757575757575,3.2806324110671934
"('Class / 4',)","('housing / 400.401-520.8', 'income / 947.0-1334.0')",0.02208835341365462,0.16666666666666666,3.2549019607843137
"('Class / 4',)","('housing / 400.401-520.8', 'transportation / 49.85-80.0')",0.024096385542168676,0.18181818181818182,4.311688311688312
"('Class / 4',)","('transportation / 80.0-110.0', 'housing / 400.401-520.8')",0.024096385542168676,0.18181818181818182,4.024242424242424
"('Class / 4',)","('housing / 400.401-520.8', 'university / 250.0-300.2')",0.0321285140562249,0.24242424242424238,6.3540669856459315
"('Class / 4',)","('housing / 400.401-520.8', 'university / 300.2-350.15')",0.0321285140562249,0.24242424242424238,4.471380471380471
"('Class / 4',)","('housing / 520.8-640.6', 'university / 250.0-300.2')",0.01606425702811245,0.12121212121212119,4.311688311688311
"('Class / 4',)","('housing / 520.8-640.6', 'university / 300.2-350.15')",0.013052208835341365,0.09848484848484847,3.1642228739002927
"('Class / 4',)","('transportation / 49.85-80.0', 'university / 250.0-300.2')",0.018072289156626505,0.13636363636363635,3.086776859504132
"('Class / 4',)","('transportation / 80.0-110.0', 'university / 250.0-300.2')",0.020080321285140562,0.1515151515151515,3.509513742071881
"('Class / 4',)","('transportation / 80.0-110.0', 'university / 300.2-350.15')",0.013052208835341365,0.09848484848484847,3.0653409090909087
"('Class / 5',)","('housing / 880.2-1000.0', 'food / 280.0-340.0')",0.0321285140562249,0.21768707482993194,4.81814058956916
"('Class / 5',)","('food / 280.0-340.0', 'university / 250.0-300.2')",0.023092369477911646,0.15646258503401358,3.6241101091599424
"('Class / 5',)","('university / 300.2-350.15', 'food / 280.0-340.0')",0.019076305220883535,0.1292517006802721,3.2183673469387757
"('Class / 5',)","('housing / 760.4-880.2', 'food / 340.0-400.0')",0.023092369477911646,0.15646258503401358,3.6241101091599424
"('Class / 5',)","('housing / 880.2-1000.0', 'food / 340.0-400.0')",0.029116465863453816,0.19727891156462585,5.17078410311493
"('Class / 5',)","('food / 340.0-400.0', 'university / 250.0-300.2')",0.028112449799196786,0.19047619047619047,4.036474164133739
"('Class / 5',)","('food / 340.0-400.0', 'university / 300.2-350.15')",0.02108433734939759,0.14285714285714285,3.2337662337662336
"('Class / 5',)","('health / 150.4-199.6', 'university / 250.0-300.2')",0.023092369477911646,0.15646258503401358,3.1803415243648474
"('Class / 5',)","('health / 199.6-248.8', 'housing / 880.2-1000.0')",0.02610441767068273,0.1768707482993197,3.2622826908541187
"('Class / 5',)","('housing / 760.4-880.2', 'university / 250.0-300.2')",0.025100401606425703,0.17006802721088435,4.033041788143829
"('Class / 5',)","('housing / 760.4-880.2', 'university / 300.2-350.15')",0.020080321285140562,0.13605442176870747,3.3051269288203082
"('Class / 5',)","('income / 1334.0-1721.0', 'housing / 880.2-1000.0')",0.029116465863453816,0.19727891156462585,3.3303355240401245
"('Class / 5',)","('housing / 880.2-1000.0', 'non-essential / 619.0-748.0')",0.02208835341365462,0.14965986394557823,3.387755102040816
"('Class / 5',)","('housing / 880.2-1000.0', 'transportation / 110.0-140.0')",0.01606425702811245,0.10884353741496597,3.0973760932944603
"('Class / 5',)","('housing / 880.2-1000.0', 'transportation / 140.0-170.0')",0.01606425702811245,0.10884353741496597,3.285095856524427
"('Class / 5',)","('housing / 880.2-1000.0', 'university / 250.0-300.2')",0.03413654618473896,0.23129251700680273,5.906855049712193
"('Class / 5',)","('housing / 880.2-1000.0', 'university / 300.2-350.15')",0.020080321285140562,0.13605442176870747,3.566058002148227
"('Class / 5',)","('housing / 880.2-1000.0', 'university / 350.15-400.1')",0.018072289156626505,0.12244897959183673,3.209452201933405
"('Class / 5',)","('transportation / 140.0-170.0', 'university / 250.0-300.2')",0.014056224899598393,0.09523809523809523,3.1619047619047618
"('Class / 5',)","('transportation / 170.0-200.0', 'university / 250.0-300.2')",0.018072289156626505,0.12244897959183673,4.0653061224489795
"('Class / 6',)","('university / 400.1-450.05', 'food / 280.0-340.0')",0.02610441767068273,0.12745098039215685,3.2549019607843133
"('Class / 6',)","('food / 280.0-340.0', 'university / 450.05-500.0')",0.03815261044176707,0.1862745098039216,4.525107604017218
"('Class / 6',)","('housing / 520.8-640.6', 'food / 340.0-400.0')",0.02108433734939759,0.10294117647058823,3.9434389140271495
"('Class / 6',)","('food / 340.0-400.0', 'housing / 640.6-760.4')",0.02208835341365462,0.10784313725490197,3.0689075630252103
"('Class / 6',)","('university / 400.1-450.05', 'food / 340.0-400.0')",0.02710843373493976,0.1323529411764706,4.707983193277311
"('Class / 6',)","('food / 340.0-400.0', 'university / 450.05-500.0')",0.04919678714859438,0.24019607843137256,4.882352941176471
"('Class / 6',)","('housing / 400.401-520.8', 'university / 450.05-500.0')",0.02610441767068273,0.12745098039215685,3.096126255380201
"('Class / 6',)","('housing / 520.8-640.6', 'university / 450.05-500.0')",0.02208835341365462,0.10784313725490197,3.8361344537815127
"('Class / 6',)","('non-essential / 619.0-748.0', 'university / 450.05-500.0')",0.028112449799196786,0.13725490196078433,3.4176470588235297
"('Class / 6',)","('transportation / 80.0-110.0', 'university / 450.05-500.0')",0.03413654618473896,0.16666666666666669,3.3877551020408165
"('Class / 1',)","('housing / 760.4-880.2', 'transportation / 110.0-140.0', 'food / 160.0-220.0')",0.010040160642570281,0.06578947368421052,4.680451127819548
"('Class / 1',)","('food / 160.0-220.0', 'transportation / 110.0-140.0', 'non-essential / 490.0-619.0')",0.01104417670682731,0.07236842105263158,4.004385964912281
"('Class / 1',)","('food / 220.0-280.0', 'transportation / 170.0-200.0', 'non-essential / 490.0-619.0')",0.010040160642570281,0.06578947368421052,3.6403508771929824
"('Class / 1',)","('food / 99.7-160.0', 'health / 101.2-150.4', 'transportation / 140.0-170.0')",0.01104417670682731,0.07236842105263158,4.805263157894737
"('Class / 1',)","('food / 99.7-160.0', 'housing / 760.4-880.2', 'transportation / 140.0-170.0')",0.012048192771084338,0.07894736842105263,6.552631578947368
"('Class / 1',)","('food / 99.7-160.0', 'transportation / 140.0-170.0', 'non-essential / 490.0-619.0')",0.010040160642570281,0.06578947368421052,3.6403508771929824
"('Class / 1',)","('housing / 760.4-880.2', 'transportation / 110.0-140.0', 'non-essential / 490.0-619.0')",0.012048192771084338,0.07894736842105263,3.1452631578947368
"('Class / 1',)","('housing / 880.2-1000.0', 'transportation / 170.0-200.0', 'non-essential / 490.0-619.0')",0.013052208835341365,0.08552631578947367,4.48337950138504
"('Class / 1',)","('housing / 880.2-1000.0', 'non-essential / 490.0-619.0', 'university / 450.05-500.0')",0.010040160642570281,0.06578947368421052,3.6403508771929824
"('Class / 2',)","('health / 101.2-150.4', 'housing / 640.6-760.4', 'food / 160.0-220.0')",0.010040160642570281,0.05,3.1125000000000003
"('Class / 2',)","('transportation / 80.0-110.0', 'health / 101.2-150.4', 'food / 160.0-220.0')",0.013052208835341365,0.065,4.316
"('Class / 2',)","('non-essential / 361.0-490.0', 'health / 150.4-199.6', 'food / 160.0-220.0')",0.010040160642570281,0.05,3.3200000000000003
"('Class / 2',)","('health / 150.4-199.6', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('transportation / 80.0-110.0', 'housing / 640.6-760.4', 'food / 160.0-220.0')",0.013052208835341365,0.065,4.6242857142857146
"('Class / 2',)","('income / 1334.0-1721.0', 'transportation / 80.0-110.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,3.652
"('Class / 2',)","('income / 947.0-1334.0', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('non-essential / 361.0-490.0', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('non-essential / 490.0-619.0', 'transportation / 49.85-80.0', 'food / 160.0-220.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('transportation / 80.0-110.0', 'non-essential / 490.0-619.0', 'food / 160.0-220.0')",0.01104417670682731,0.055,3.652
"('Class / 2',)","('food / 220.0-280.0', 'housing / 880.2-1000.0', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,4.527272727272727
"('Class / 2',)","('food / 220.0-280.0', 'income / 1334.0-1721.0', 'transportation / 49.85-80.0')",0.01104417670682731,0.055,4.213846153846154
"('Class / 2',)","('food / 220.0-280.0', 'transportation / 49.85-80.0', 'non-essential / 490.0-619.0')",0.012048192771084338,0.060000000000000005,3.9840000000000004
"('Class / 2',)","('food / 220.0-280.0', 'university / 400.1-450.05', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,3.8307692307692314
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'health / 101.2-150.4')",0.018072289156626505,0.09,4.98
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'health / 150.4-199.6')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'housing / 760.4-880.2', 'health / 199.6-248.8')",0.01104417670682731,0.055,3.2223529411764704
"('Class / 2',)","('food / 99.7-160.0', 'health / 199.6-248.8', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'housing / 640.6-760.4')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'housing / 760.4-880.2', 'transportation / 49.85-80.0')",0.015060240963855422,0.075,4.9799999999999995
"('Class / 2',)","('transportation / 80.0-110.0', 'food / 99.7-160.0', 'housing / 760.4-880.2')",0.010040160642570281,0.05,4.527272727272727
"('Class / 2',)","('income / 1334.0-1721.0', 'food / 99.7-160.0', 'transportation / 49.85-80.0')",0.012048192771084338,0.060000000000000005,4.98
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'income / 1721.0-2108.0')",0.012048192771084338,0.060000000000000005,4.98
"('Class / 2',)","('food / 99.7-160.0', 'income / 947.0-1334.0', 'transportation / 49.85-80.0')",0.014056224899598393,0.06999999999999999,4.9799999999999995
"('Class / 2',)","('transportation / 80.0-110.0', 'food / 99.7-160.0', 'non-essential / 361.0-490.0')",0.012048192771084338,0.060000000000000005,4.596923076923077
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'non-essential / 490.0-619.0')",0.019076305220883535,0.095,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'non-essential / 619.0-748.0')",0.010040160642570281,0.05,4.98
"('Class / 2',)","('food / 99.7-160.0', 'university / 400.1-450.05', 'transportation / 49.85-80.0')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('food / 99.7-160.0', 'transportation / 49.85-80.0', 'university / 450.05-500.0')",0.012048192771084338,0.060000000000000005,4.98
"('Class / 2',)","('transportation / 49.85-80.0', 'health / 101.2-150.4', 'housing / 640.6-760.4')",0.012048192771084338,0.060000000000000005,3.3200000000000003
"('Class / 2',)","('housing / 760.4-880.2', 'transportation / 49.85-80.0', 'health / 101.2-150.4')",0.01104417670682731,0.055,3.652
"('Class / 2',)","('income / 1334.0-1721.0', 'transportation / 49.85-80.0', 'health / 101.2-150.4')",0.01104417670682731,0.055,4.213846153846154
"('Class / 2',)","('income / 947.0-1334.0', 'health / 101.2-150.4', 'transportation / 49.85-80.0')",0.014056224899598393,0.06999999999999999,3.32
"('Class / 2',)","('non-essential / 361.0-490.0', 'transportation / 49.85-80.0', 'health / 101.2-150.4')",0.01104417670682731,0.055,3.0433333333333334
"('Class / 2',)","('transportation / 49.85-80.0', 'health / 101.2-150.4', 'non-essential / 490.0-619.0')",0.015060240963855422,0.075,3.395454545454545
"('Class / 2',)","('university / 400.1-450.05', 'transportation / 49.85-80.0', 'health / 101.2-150.4')",0.01104417670682731,0.055,3.652
"('Class / 2',)","('income / 1334.0-1721.0', 'transportation / 49.85-80.0', 'health / 150.4-199.6')",0.012048192771084338,0.060000000000000005,3.1452631578947368
"('Class / 2',)","('non-essential / 361.0-490.0', 'transportation / 49.85-80.0', 'health / 150.4-199.6')",0.010040160642570281,0.05,3.1125000000000003
"('Class / 2',)","('non-essential / 490.0-619.0', 'transportation / 49.85-80.0', 'health / 150.4-199.6')",0.013052208835341365,0.065,3.237
"('Class / 2',)","('university / 400.1-450.05', 'transportation / 49.85-80.0', 'health / 150.4-199.6')",0.010040160642570281,0.05,3.5571428571428574
"('Class / 2',)","('income / 1334.0-1721.0', 'transportation / 49.85-80.0', 'housing / 640.6-760.4')",0.01104417670682731,0.055,4.9799999999999995
"('Class / 2',)","('transportation / 49.85-80.0', 'housing / 640.6-760.4', 'non-essential / 490.0-619.0')",0.014056224899598393,0.06999999999999999,4.3575
"('Class / 2',)","('transportation / 80.0-110.0', 'housing / 640.6-760.4', 'non-essential / 490.0-619.0')",0.012048192771084338,0.060000000000000005,3.1452631578947368
"('Class / 2',)","('income / 1334.0-1721.0', 'housing / 760.4-880.2', 'transportation / 49.85-80.0')",0.010040160642570281,0.05,3.8307692307692314
"('Class / 2',)","('housing / 760.4-880.2', 'transportation / 49.85-80.0', 'non-essential / 490.0-619.0')",0.013052208835341365,0.065,3.808235294117647
